date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,amplitude_hl,amplitude_hl_ema10,amplitude_oc_ema10,local_min,local_max,price_times_volume,vwap
2022-02-24 19:37:00,13866.25,13872.5,13865.25,13869.0,1645753020,449,2022-02-24 19:37:00,2022-02-25,13884.756166392935,7.25,10.948485565456014,4.747449477783093,,,6227181.0,13882.290404570975
2022-02-24 19:38:00,13868.0,13872.0,13865.0,13865.5,1645753080,359,2022-02-24 19:38:00,2022-02-25,13884.437882650904,7.0,10.230579099009466,4.338822300004349,,,4977714.5,13882.22033883529
2022-02-24 19:39:00,13865.75,13866.5,13856.75,13858.0,1645753140,626,2022-02-24 19:39:00,2022-02-25,13884.000892855021,9.75,10.143201081007746,4.959036427276286,,,8675108.0,13882.045371930391
2022-02-24 19:40:00,13857.75,13862.75,13845.0,13846.25,1645753200,1301,2022-02-24 19:40:00,2022-02-25,13883.376911154939,17.75,11.526255429915429,6.14830253140787,,,18013971.25,13881.515911183875
2022-02-24 19:41:00,13846.5,13850.0,13841.75,13846.0,1645753260,870,2022-02-24 19:41:00,2022-02-25,13882.759110970559,8.25,10.930572624476259,5.121338434788257,,,12046020.0,13881.168057009692
2022-02-24 19:42:00,13846.5,13858.5,13846.25,13848.5,1645753320,843,2022-02-24 19:42:00,2022-02-25,13882.192844673526,12.25,11.170468510935121,4.553822355735846,,,11674285.5,13880.860940113751
2022-02-24 19:43:00,13849.0,13849.75,13839.25,13843.0,1645753380,902,2022-02-24 19:43:00,2022-02-25,13881.545029059087,10.5,11.048565145310555,4.8167637456020564,,,12486386.0,13880.483885748356
2022-02-24 19:44:00,13843.5,13845.5,13833.0,13833.5,1645753440,1125,2022-02-24 19:44:00,2022-02-25,13880.750896347367,12.5,11.312462391617727,5.759170337310773,,,15562687.5,13879.90745607817
2022-02-24 19:45:00,13834.0,13840.75,13824.25,13836.5,1645753500,1138,2022-02-24 19:45:00,2022-02-25,13880.01947657303,16.5,12.25565104768723,5.166593912345178,,,15745937.0,13879.375354122907
2022-02-24 19:46:00,13836.25,13839.0,13827.0,13829.25,1645753560,666,2022-02-24 19:46:00,2022-02-25,13879.180311670996,12.0,12.209169039016825,5.499940473736964,,,9210280.5,13879.018315312136
2022-02-24 19:47:00,13829.0,13838.0,13826.5,13834.75,1645753620,785,2022-02-24 19:47:00,2022-02-25,13878.44592635412,11.5,12.080229213741038,5.545405842148425,,,10860278.75,13878.649749167427
