date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,amplitude_hl,amplitude_oc,local_min,local_max,price_times_volume,vwap
2022-02-23 09:30:00,13804.0,13825.5,13785.25,13810.5,1645630200,24619,2022-02-23 09:30:00,2022-02-23,13971.925332060455,47.31498971190148,22.874433180465296,,,340000699.5,13944.618785331535
2022-02-23 09:35:00,13810.5,13842.0,13809.0,13817.25,1645630500,23711,2022-02-23 09:35:00,2022-02-23,13969.368715001605,44.71226430973758,19.942718056744333,,,327620814.75,13940.833356939711
2022-02-23 09:40:00,13817.25,13822.5,13772.25,13780.75,1645630800,22707,2022-02-23 09:40:00,2022-02-23,13966.251050290835,45.71912534433074,22.95313295551809,,,312919490.25,13936.4031914751
2022-02-23 09:45:00,13781.25,13801.75,13768.75,13771.75,1645631100,16952,2022-02-23 09:45:00,2022-02-23,13963.036156897599,43.40655709990697,20.50710878178753,,,233458706.0,13933.07027897252
2022-02-23 09:50:00,13771.25,13794.0,13766.25,13773.5,1645631400,15049,2022-02-23 09:50:00,2022-02-23,13959.903327857968,40.55991035446934,17.18763445782616,,,207277401.5,13930.25346856067
2022-02-23 09:55:00,13773.25,13798.0,13751.75,13779.75,1645631700,22530,2022-02-23 09:55:00,2022-02-23,13956.925586901638,41.59447210820218,15.244428192766858,,,310457767.5,13926.378418538476
2022-02-23 10:00:00,13779.0,13789.5,13741.0,13752.75,1645632000,23444,2022-02-23 10:00:00,2022-02-23,13953.550783812354,42.850022633983606,17.24544124862743,,,322419471.0,13921.847985061586
2022-02-23 10:05:00,13752.75,13761.25,13727.5,13741.5,1645632300,20354,2022-02-23 10:05:00,2022-02-23,13950.045812179093,41.195473064168404,16.15536102160426,,,279694491.0,13917.852957741421
2022-02-23 10:10:00,13741.0,13755.0,13733.25,13745.25,1645632600,14673,2022-02-23 10:10:00,2022-02-23,13946.66075743233,37.659932507046875,13.990749926767123,,,201684053.25,13915.139985281452
2022-02-23 10:15:00,13745.0,13745.0,13713.5,13733.5,1645632900,16967,2022-02-23 10:15:00,2022-02-23,13943.137439127664,36.539944778492895,13.537886303718555,13713.5,,233016294.5,13911.897543669902
2022-02-23 10:20:00,13733.25,13747.5,13726.5,13735.5,1645633200,13921,2022-02-23 10:20:00,2022-02-23,13939.70541534043,33.71450027331237,11.48554333940609,,,191211895.5,13909.351276539708
2022-02-23 10:25:00,13735.75,13757.5,13730.0,13737.0,1645633500,13212,2022-02-23 10:25:00,2022-02-23,13936.35491260753,32.584591132710116,9.624535459514075,,,181493244.0,13907.022033702395
2022-02-23 10:30:00,13737.0,13777.25,13717.5,13758.75,1645633800,21858,2022-02-23 10:30:00,2022-02-23,13933.419294217323,37.523756381308274,11.829165375966062,,,300738757.5,13903.779397963328
2022-02-23 10:35:00,13758.25,13792.75,13747.25,13773.5,1645634100,17730,2022-02-23 10:35:00,2022-02-23,13930.776000098029,38.97398249379768,12.451135307608595,,,244204155.0,13901.508610858786
2022-02-23 10:40:00,13773.5,13789.0,13751.25,13758.0,1645634400,15340,2022-02-23 10:40:00,2022-02-23,13927.920198443517,38.7514402221981,13.005474342588851,,,211047720.0,13899.376573782813
2022-02-23 10:45:00,13758.25,13777.75,13743.5,13776.5,1645634700,13739,2022-02-23 10:45:00,2022-02-23,13925.417385246103,37.93299654543481,13.959024462118151,,,189275333.5,13897.763051201253
2022-02-23 10:50:00,13776.25,13812.25,13763.0,13806.5,1645635000,15438,2022-02-23 10:50:00,2022-02-23,13923.451808630465,39.990633537173935,16.921020014460307,,,213144747.0,13896.436036868443
2022-02-23 10:55:00,13806.0,13830.5,13805.25,13811.5,1645635300,16349,2022-02-23 10:55:00,2022-02-23,13921.601365512606,37.31051834859686,14.84447092092207,,,225804213.5,13895.14797647648
2022-02-23 11:00:00,13811.5,13818.75,13794.5,13803.0,1645635600,10985,2022-02-23 11:00:00,2022-02-23,13919.641012363638,34.935878648851975,13.690930753481695,,,151625955.0,13894.218505034181
2022-02-23 11:05:00,13803.5,13823.0,13792.25,13820.5,1645635900,9343,2022-02-23 11:05:00,2022-02-23,13918.002317944403,34.17480980360616,14.292579707394113,,,129124931.5,13893.591453644307
2022-02-23 11:10:00,13820.5,13833.5,13801.0,13806.5,1645636200,11569,2022-02-23 11:10:00,2022-02-23,13916.159304424662,33.87029893022322,14.23938339695882,,,159727398.5,13892.683714020326
2022-02-23 11:15:00,13806.75,13845.0,13804.5,13842.0,1645636500,12291,2022-02-23 11:15:00,2022-02-23,13914.933530797807,35.07569912472809,18.05949550660267,,,170132022.0,13892.128624612165
2022-02-23 11:20:00,13842.0,13859.75,13834.25,13852.25,1645636800,13041,2022-02-23 11:20:00,2022-02-23,13913.897439379662,33.33466292023207,16.639587232674913,,,180647192.25,13891.67054516035
2022-02-23 11:25:00,13852.5,13864.5,13841.5,13853.5,1645637100,10626,2022-02-23 11:25:00,2022-02-23,13912.899134596526,31.455633298371694,13.79602591764311,,13864.5,147207291.0,13891.316595108756
2022-02-23 11:30:00,13854.0,13860.5,13821.5,13822.0,1645637400,12625,2022-02-23 11:30:00,2022-02-23,13911.396669561873,32.82733633503138,17.105839387162543,,,174502750.0,13890.561235380432
2022-02-23 11:35:00,13822.25,13825.75,13799.0,13806.0,1645637700,12516,2022-02-23 11:35:00,2022-02-23,13909.654575850107,31.722366092298405,16.950232225860262,,,172795896.0,13889.657470415843
2022-02-23 11:40:00,13806.25,13817.75,13799.5,13813.25,1645638000,8696,2022-02-23 11:40:00,2022-02-23,13908.061111786468,29.272844984607787,15.141099093885668,,,120120022.0,13889.094272616003
2022-02-23 11:45:00,13813.5,13826.5,13796.25,13799.25,1645638300,10793,2022-02-23 11:45:00,2022-02-23,13906.262581013138,29.450509532860917,14.979081076815547,,,148935305.25,13888.279787578062
2022-02-23 11:50:00,13799.75,13803.0,13760.25,13764.5,1645638600,16261,2022-02-23 11:50:00,2022-02-23,13903.919397855896,31.868598708704386,18.66470269921272,,,223824534.5,13886.611941671306
2022-02-23 11:55:00,13764.25,13770.75,13752.0,13764.5,1645638900,10234,2022-02-23 11:55:00,2022-02-23,13901.614944998773,29.48339894348541,15.3165749357195,,,140865893.0,13885.585119756788
2022-02-23 12:00:00,13764.5,13765.25,13746.0,13751.75,1645639200,8765,2022-02-23 12:00:00,2022-02-23,13899.137838469867,27.62278095376079,14.849924947406864,,,120534088.75,13884.628152494462
2022-02-23 12:05:00,13752.5,13759.0,13728.0,13739.5,1645639500,12687,2022-02-23 12:05:00,2022-02-23,13896.499196511688,28.236820780349735,14.513574956969252,,,174313036.5,13883.141484834097
2022-02-23 12:10:00,13739.75,13745.0,13685.75,13687.25,1645639800,19398,2022-02-23 12:10:00,2022-02-23,13893.040532106535,33.875580638467966,21.420197692065752,,,265505275.5,13880.1206540663
2022-02-23 12:15:00,13687.5,13704.0,13674.25,13695.75,1645640100,15498,2022-02-23 12:15:00,2022-02-23,13889.779531575849,33.12547506783743,19.025616293508342,,,212256733.5,13877.876755146466
2022-02-23 12:20:00,13695.75,13707.25,13680.25,13690.5,1645640400,12010,2022-02-23 12:20:00,2022-02-23,13886.485655020875,32.01175232823062,16.520958785597735,,,164422905.0,13876.126030995607
2022-02-23 12:25:00,13690.5,13703.0,13664.5,13673.0,1645640700,13678,2022-02-23 12:25:00,2022-02-23,13882.956966508133,33.19143372309778,16.69896627912542,,,187019294.0,13873.98732897591
