date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,ema_120_trend,ema_120_trend_change,amplitude_hl,amplitude_hl_ema10,amplitude_oc_ema10,diff,diff_sma,diff_sma_trend,local_min,local_max,price_times_volume,vwap
2022-03-10 01:20:00,13690.5,13701.5,13685.75,13693.25,1646896800,1658,2022-03-10 01:20:00,2022-03-10,,,,15.75,14.632510708126915,6.361090976730262,2.75,7.05,-0.35000000000000053,,,22703408.5,13719.88834850725
2022-03-10 01:25:00,13692.5,13703.0,13690.0,13698.25,1646897100,1622,2022-03-10 01:25:00,2022-03-10,,,,13.0,14.335690579376568,6.249983526415669,5.75,5.4,-1.6499999999999995,,,22218561.5,13719.663125505345
2022-03-10 01:30:00,13698.25,13715.5,13697.5,13707.75,1646897400,2510,2022-03-10 01:30:00,2022-03-10,,,,18.0,15.001928655853556,6.840895612521911,9.5,7.15,1.75,,,34406452.5,13719.47428383772
2022-03-10 01:35:00,13707.5,13722.5,13700.25,13706.75,1646897700,3159,2022-03-10 01:35:00,2022-03-10,,,,22.25,16.319759809334727,5.733460046608837,-0.75,5.7,-1.4500000000000002,,13722.5,43299623.25,13719.225396741856
2022-03-10 01:40:00,13707.5,13710.75,13703.5,13708.75,1646898000,1448,2022-03-10 01:40:00,2022-03-10,,,,7.25,14.670712571273867,4.918285492679957,1.25,4.0,-1.7000000000000002,,,19850270.0,13719.13231124694
2022-03-10 01:45:00,13708.0,13711.5,13703.25,13710.75,1646898300,1686,2022-03-10 01:45:00,2022-03-10,,,,8.25,13.503310285587709,4.524051766738147,2.75,4.0,0.0,,,23116324.5,13719.046470416735
2022-03-10 01:50:00,13710.5,13717.25,13705.0,13711.75,1646898600,2067,2022-03-10 01:50:00,2022-03-10,,,,12.25,13.275435688208125,3.928769627331211,1.25,3.1,-0.8999999999999999,,,28342187.25,13718.955999856033
2022-03-10 01:55:00,13711.75,13715.75,13706.75,13712.0,1646898900,1969,2022-03-10 01:55:00,2022-03-10,,,,9.0,12.498083744897556,3.2599024223619,0.25,1.25,-1.85,,,26998928.0,13718.874799167621
2022-03-10 02:00:00,13712.75,13721.5,13678.75,13683.5,1646899200,7371,2022-03-10 02:00:00,2022-03-10,,,,42.75,17.99843215491618,7.985374709205191,-29.25,6.95,5.7,,,100861078.5,13717.393648746904
2022-03-10 02:05:00,13683.0,13695.0,13681.0,13690.0,1646899500,3949,2022-03-10 02:05:00,2022-03-10,,,,14.0,17.271444490385967,7.806215671167883,7.0,8.1,1.1499999999999995,,,54061810.0,13716.79263915819
