date,open,high,low,close,epoch_sec,volume,date,market_date,ema_120,ema_120_trend,ema_120_trend_change,amplitude_hl,amplitude_hl_ema10,amplitude_oc_ema10,diff,diff_sma,diff_sma_trend,local_min,local_max,vwap
2022-03-08 09:00:00,13252.0,13325.75,13124.0,13313.5,1646751600,301970,2022-03-08 09:00:00,2022-03-08,13724.287565953087,-451.27737368483866,3.5208528462392223,201.75,123.7803088233846,40.626650093319505,61.5,43.075,0.9750000000000014,,,
2022-03-08 10:00:00,13314.0,13343.5,13119.0,13224.75,1646755200,200429,2022-03-08 10:00:00,2022-03-08,13716.030746681135,-454.4776435245424,-3.200269839703708,224.5,142.0929799464056,49.46725916726142,-89.25,44.7,1.625,13119.0,,
2022-03-08 11:00:00,13224.0,13619.25,13213.0,13590.25,1646758800,256779,2022-03-08 11:00:00,2022-03-08,13713.951726074836,-428.01557012856586,26.462073395976518,406.25,190.1215290470591,107.06412113685025,366.25,58.05,13.349999999999994,,,
2022-03-08 12:00:00,13591.0,13666.25,13352.75,13355.5,1646762400,208174,2022-03-08 12:00:00,2022-03-08,13708.026904156244,-421.97647685078016,6.039093277785696,313.5,212.5539783112302,130.41609911196838,-235.5,67.325,9.275000000000006,,13666.25,
2022-03-08 13:00:00,13355.0,13477.25,13291.0,13421.25,1646766000,206517,2022-03-08 13:00:00,2022-03-08,13703.286790037959,-410.78130190575445,11.195174945025713,186.25,207.77143680009743,118.74953563706504,66.25,70.0125,2.6875,,,
2022-03-08 14:00:00,13421.5,13511.25,13252.0,13255.0,1646769600,200674,2022-03-08 14:00:00,2022-03-08,13695.877091029068,-413.1889650356195,-2.407663129865057,259.25,217.13117556371608,127.43143824850776,-166.5,77.3125,7.299999999999997,,,
2022-03-08 15:00:00,13255.0,13261.25,13182.0,13199.75,1646773200,34047,2022-03-08 15:00:00,2022-03-08,13687.676643243463,-419.167979292247,-5.979014256627522,79.25,192.0618709157677,114.30754038514272,-55.25,77.15,-0.16249999999999432,,,
2022-03-08 17:00:00,13194.25,13258.75,13192.0,13251.25,1646780400,10627,2022-03-08 17:00:00,2022-03-09,13680.462979718777,-419.9715793263694,-0.8036000341223826,66.75,169.27789438562812,103.88798758784404,57.0,77.95,0.7999999999999972,,,
2022-03-08 18:00:00,13250.5,13280.0,13249.25,13278.75,1646784000,14295,2022-03-08 18:00:00,2022-03-09,13673.823095756483,-417.9797006407785,1.9918786855909048,30.75,144.0910044973321,90.13562620823603,28.25,79.3,1.3499999999999943,,,
2022-03-08 19:00:00,13279.0,13347.5,13265.75,13312.25,1646787600,27034,2022-03-08 19:00:00,2022-03-09,13667.84668095059,-412.9890590655634,4.990641575215079,81.75,132.75627640690809,79.79278507946584,33.25,79.4,0.10000000000000853,,,
2022-03-08 20:00:00,13312.5,13335.25,13247.0,13261.25,1646791200,19306,2022-03-08 20:00:00,2022-03-09,13661.126074653886,-411.94002031262926,1.049038752934166,88.25,124.66422615110662,74.60318779229024,-51.25,78.4125,-0.9875000000000114,,,
2022-03-08 21:00:00,13261.75,13280.0,13223.0,13255.75,1646794800,17518,2022-03-08 21:00:00,2022-03-09,13654.425643667872,-410.8788701810487,1.0611501315805754,57.0,112.36163957817814,62.129880920964744,-6.0,76.2375,-2.174999999999997,,,
2022-03-08 22:00:00,13255.5,13344.25,13254.75,13327.5,1646798400,18160,2022-03-08 22:00:00,2022-03-09,13649.021914020468,-403.7303136882023,7.14855649284641,89.5,108.20497783669121,63.92444802624388,72.0,79.5375,3.299999999999997,,,
2022-03-08 23:00:00,13327.0,13336.5,13255.25,13287.5,1646802000,21787,2022-03-08 23:00:00,2022-03-09,13643.046345193683,-399.87559620864073,3.8547174795615433,81.25,103.30407277547462,59.483639294199534,-39.5,73.925,-5.612499999999997,,,
2022-03-09 00:00:00,13286.75,13353.0,13284.75,13326.25,1646805600,22885,2022-03-09 00:00:00,2022-03-09,13637.810041967341,-392.8103518693368,7.065244339303945,68.25,96.9306049981156,55.8502503316178,39.5,73.9625,0.037500000000008527,,,
2022-03-09 01:00:00,13326.75,13438.5,13298.75,13423.5,1646809200,37939,2022-03-09 01:00:00,2022-03-09,13634.26772722408,-378.2469418977162,14.563409971620558,139.75,104.71594954391276,63.28656845314184,96.75,78.4375,4.474999999999994,,,
2022-03-09 02:00:00,13423.5,13455.25,13356.5,13450.0,1646812800,50800,2022-03-09 02:00:00,2022-03-09,13631.221979666658,-362.48494491923157,15.76199697848466,98.75,103.63123144501952,56.59810146166151,26.5,79.425,0.9874999999999972,,,
2022-03-09 03:00:00,13449.25,13556.75,13440.5,13550.5,1646816400,42183,2022-03-09 03:00:00,2022-03-09,13629.887732068863,-339.83716789120206,22.64777702802951,116.25,105.92555300047052,64.71662846863214,101.25,82.3625,2.9375,,,
2022-03-09 04:00:00,13550.0,13568.25,13504.0,13519.0,1646820000,33099,2022-03-09 04:00:00,2022-03-09,13628.054876993345,-321.3745846193735,18.462583271828578,64.25,98.3481797276577,58.586332383426296,-31.0,83.0875,0.7250000000000085,,,
2022-03-09 05:00:00,13519.75,13575.25,13497.0,13513.75,1646823600,32307,2022-03-09 05:00:00,2022-03-09,13626.165540183538,-304.6578610645067,16.716723554866803,78.25,94.69396523171993,49.02518104098515,-6.0,81.4375,-1.6500000000000057,,,
2022-03-09 06:00:00,13514.5,13573.5,13488.75,13564.5,1646827200,34180,2022-03-09 06:00:00,2022-03-09,13625.146275056537,-285.13693418386913,19.520926880637546,84.75,92.8859715532254,49.202420851715125,50.0,80.8625,-0.5750000000000028,,,
2022-03-09 07:00:00,13564.75,13609.75,13548.5,13555.0,1646830800,48489,2022-03-09 07:00:00,2022-03-09,13623.98683249362,-267.8449260486492,17.29200813521993,61.25,87.13397672536624,42.02925342413056,-9.75,76.8875,-3.9749999999999943,,,
2022-03-09 08:00:00,13555.0,13644.25,13496.5,13568.75,1646834400,199211,2022-03-09 08:00:00,2022-03-09,13623.073826997857,-250.76323812458585,17.081687924063345,147.75,98.15507186620874,36.88757098337955,13.75,59.2625,-17.625,,,
2022-03-09 09:00:00,13569.0,13682.5,13552.5,13665.5,1646838000,191214,2022-03-09 09:00:00,2022-03-09,13623.775086055744,-227.36418595907853,23.399052165507328,130.0,103.94505879962533,47.7261944409469,96.5,52.3125,-6.950000000000003,,,
2022-03-09 10:00:00,13665.5,13673.25,13580.5,13665.25,1646841600,120558,2022-03-09 10:00:00,2022-03-09,13624.460621823418,-205.91190082822573,21.4522851308528,92.75,101.90959356332982,39.09415908804746,-0.25,49.0125,-3.299999999999997,,,
2022-03-09 11:00:00,13665.25,13750.0,13633.25,13723.25,1646845200,110542,2022-03-09 11:00:00,2022-03-09,13626.093504107328,-181.66642909055392,24.245471737671807,116.75,104.60784927908803,42.53158470840247,58.0,43.5875,-5.425000000000004,,,
