contract,time_completed,side,quantity,avg_price,realized_pnl,epoch_sec,profit,loss,wr,profit_long,loss_long,wr_long,profit_short,loss_short,wr_short,realized_pnl_sum,px_side,px_side_sum,px_side_diff_sma_ratio,total_profit,avg_pnl_profit,total_loss,avg_pnl_loss,avg_pnl_rr,avg_pnl_ewr,total_px_profit,avg_px_profit,total_px_loss,avg_px_loss,avg_px_rr,avg_px_ewr
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 08:56:05.000,SLD,1,13840.0,,1650290165.0,15,13,0.5357142857142857,8,6,0.5714285714285714,7,7,0.5,,,,,1409.4200000000003,93.96133333333336,-1999.58,-153.81384615384616,0.6108769508263403,0.6207798798580019,0.0,36.596666666666664,0.0,-52.84948717948718,0.6924696646984906,0.590852539846348
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 09:27:06.000,BOT,1,13994.75,-310.64,1650292026.0,15,14,0.5172413793103449,8,6,0.5714285714285714,7,8,0.4666666666666667,-900.7999999999998,-155.32,-293.4133333333332,5.7102941176470585,1409.4200000000003,93.96133333333336,-2310.22,-165.01571428571427,0.5694083968914939,0.6371827766314277,0.0,36.596666666666664,-842.3633333333332,-60.168809523809514,0.6082331852051174,0.621800376462483
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 09:27:25.000,BOT,2,13991.75,,1650292045.0,15,14,0.5172413793103449,8,6,0.5714285714285714,7,8,0.4666666666666667,,,,,1409.4200000000003,93.96133333333336,-2310.22,-165.01571428571427,0.5694083968914939,0.6371827766314277,0.0,36.596666666666664,0.0,-60.168809523809514,0.6082331852051174,0.621800376462483
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 09:51:48.000,SLD,2,13952.0,-161.28,1650293508.0,15,15,0.5,8,7,0.5333333333333333,7,8,0.4666666666666667,-1062.08,-40.32,-333.7333333333332,4.917073170731708,1409.4200000000003,93.96133333333336,-2471.5,-164.76666666666668,0.5702690673679952,0.6368335343166053,0.0,36.596666666666664,-882.6833333333333,-58.84555555555555,0.6219104624157399,0.6165568464923514
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 09:54:43.000,SLD,1,13943.0,,1650293683.0,15,15,0.5,8,7,0.5333333333333333,7,8,0.4666666666666667,,,,,1409.4200000000003,93.96133333333336,-2471.5,-164.76666666666668,0.5702690673679952,0.6368335343166053,0.0,36.596666666666664,0.0,-58.84555555555555,0.6219104624157399,0.6165568464923514
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 10:22:22.000,SLD,1,13890.0,,1650295342.0,15,15,0.5,8,7,0.5333333333333333,7,8,0.4666666666666667,,,,,1409.4200000000003,93.96133333333336,-2471.5,-164.76666666666668,0.5702690673679952,0.6368335343166053,0.0,36.596666666666664,0.0,-58.84555555555555,0.6219104624157399,0.6165568464923514
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 11:56:17.000,BOT,1,13818.0,195.86,1650300977.0,16,15,0.5161290322580645,8,7,0.5333333333333333,8,8,0.5,-866.2199999999999,97.93,-235.80333333333317,11.453801169590642,1605.2800000000002,100.33000000000001,-2471.5,-164.76666666666668,0.6089217074651022,0.6215342830917024,646.8799999999999,40.42999999999999,0.0,-58.84555555555555,0.6870527369196201,0.5927496978108072
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 11:58:31.000,BOT,1,13823.0,185.86,1650301111.0,17,15,0.53125,8,7,0.5333333333333333,9,8,0.5294117647058824,-680.3599999999999,92.93,-142.87333333333316,10.869005847953217,1791.1400000000003,105.36117647058825,-2471.5,-164.76666666666668,0.6394568671085671,0.6099581026267882,739.81,43.518235294117645,0.0,-58.84555555555555,0.7395330859444853,0.5748669042745149
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 12:08:08.000,SLD,2,13837.0,,1650301688.0,17,15,0.53125,8,7,0.5333333333333333,9,8,0.5294117647058824,,,,,1791.1400000000003,105.36117647058825,-2471.5,-164.76666666666668,0.6394568671085671,0.6099581026267882,0.0,43.518235294117645,0.0,-58.84555555555555,0.7395330859444853,0.5748669042745149
"477837024,MNQ,FUT,20220617,0,,2,GLOBEX,,USD,MNQM2,MNQ,False,,combo:",2022-04-18 12:32:05.000,BOT,2,13881.5,-180.28,1650303125.0,17,16,0.5151515151515151,8,7,0.5333333333333333,9,9,0.5,-860.6399999999999,-45.07,-187.94333333333316,1.9767543859649122,1791.1400000000003,105.36117647058825,-2651.78,-165.73625,0.6357159430757499,0.6113530923466032,0.0,43.518235294117645,-927.7533333333333,-57.98458333333333,0.7505138916657613,0.5712608193291261
